word,male,male_ratio,female,female_ratio,female_male_ratio
studi,1352,0.037734796,967,0.040096198,1.062578896
transplant,452,0.012615479,323,0.013393042,1.061635644
star,459,0.012810852,328,0.013600365,1.061628483
look,10788,0.301096877,7708,0.319608575,1.06148087
parti,1246,0.034776299,890,0.036903429,1.061166101
half,1012,0.028245276,722,0.029937389,1.059907801
dont,10499,0.293030785,7490,0.310569308,1.059852151
black,464,0.012950403,331,0.013724758,1.059793903
thought,1831,0.051103854,1306,0.054152672,1.059659257
town,975,0.027212593,695,0.028817846,1.05898935
anyon,1113,0.031064222,793,0.03288137,1.058496501
time,15205,0.424376901,10826,0.44889497,1.057774278
alway,6173,0.172290603,4392,0.182112203,1.057006014
see,5165,0.144156968,3673,0.152299208,1.056481767
path,425,0.0118619,302,0.012522287,1.055673006
motiv,463,0.012922493,329,0.013641829,1.055665456
orient,372,0.010382651,264,0.010946635,1.054319868
happen,1211,0.033799436,859,0.035618029,1.053805411
serious,3010,0.084010159,2133,0.088443836,1.052775485
fortun,432,0.012057272,306,0.012688145,1.05232305
told,1003,0.027994083,710,0.029439814,1.051644172
sincer,434,0.012113093,307,0.01272961,1.050896752
way,5350,0.149320383,3780,0.156735912,1.04966187
hill,368,0.01027101,260,0.010780777,1.049631687
mani,3551,0.09910966,2507,0.103951569,1.048854064
most,1282,0.035781071,905,0.037525397,1.048749961
add,423,0.011806079,298,0.012356429,1.046615833
big,2893,0.080744648,2038,0.084504706,1.046567273
area,4746,0.13246253,3343,0.138615914,1.046453769
havent,935,0.026096179,658,0.027283659,1.04550397
romant,1170,0.032655112,823,0.034125306,1.045021865
high,1651,0.046079991,1161,0.048140316,1.04471192
york,714,0.019927991,502,0.020815193,1.044520358
match,595,0.016606659,418,0.017332172,1.043688071
taken,487,0.013592341,342,0.014180868,1.043298417
special,1116,0.031147953,783,0.032466725,1.042338961
age,871,0.024309917,611,0.025334826,1.042160141
without,1533,0.04278657,1075,0.044574367,1.041784072
amount,431,0.012029362,302,0.012522287,1.040976862
four,443,0.012364286,310,0.012854003,1.039607422
weekend,1264,0.035278685,884,0.036654642,1.039002505
young,754,0.021044405,527,0.021851806,1.038366511
pretti,5501,0.153534846,3844,0.159389642,1.038133337
mind,2867,0.080018979,2003,0.083053448,1.037921863
hold,874,0.024393648,610,0.025293362,1.036883124
ladi,678,0.018923219,473,0.019612721,1.036436862
join,496,0.013843535,346,0.014346726,1.036348507
hear,843,0.023528427,588,0.024381142,1.036241915
somewher,520,0.014513383,362,0.015010159,1.034228808
meet,6437,0.179658936,4480,0.185761081,1.033965168
expect,798,0.022272461,555,0.023012813,1.033240677
left,781,0.021797985,543,0.022515238,1.032904571
major,747,0.020849033,519,0.02152009,1.032186465
